Start the test ...
Run test script from:  1000  to:  10001  step: 20
CPU threshold =  60
Memory thresold =  60
{'threads': 2920, 'errors': 0, 'overloads': 875, 'max': 3885.805, 'min': 0.606, 'avg': 1848.7244119863012, 'cpu_count': 2, 'cpu_percent': 88.4, 'memory_percent': 10.9, 'disk_io_read': 301229, 'disk_io_write': 140961268}
{'threads': 2940, 'errors': 0, 'overloads': 846, 'max': 4092.023, 'min': 0.616, 'avg': 1981.8220829931972, 'cpu_count': 2, 'cpu_percent': 88.4, 'memory_percent': 10.9, 'disk_io_read': 301229, 'disk_io_write': 149300648}
{'threads': 2960, 'errors': 0, 'overloads': 810, 'max': 3992.9429999999998, 'min': 0.628, 'avg': 1897.5247868243239, 'cpu_count': 2, 'cpu_percent': 92.6, 'memory_percent': 10.9, 'disk_io_read': 301229, 'disk_io_write': 149300650}
{'threads': 2980, 'errors': 0, 'overloads': 734, 'max': 3676.125, 'min': 0.631, 'avg': 1722.9934546979864, 'cpu_count': 2, 'cpu_percent': 89.7, 'memory_percent': 10.9, 'disk_io_read': 301229, 'disk_io_write': 149300696}
{'threads': 3000, 'errors': 0, 'overloads': 881, 'max': 4165.93, 'min': 0.627, 'avg': 2088.416568, 'cpu_count': 2, 'cpu_percent': 87.3, 'memory_percent': 11.0, 'disk_io_read': 301229, 'disk_io_write': 149300698}
{'threads': 3020, 'errors': 0, 'overloads': 724, 'max': 3976.615, 'min': 0.606, 'avg': 1955.3681235099339, 'cpu_count': 2, 'cpu_percent': 90.1, 'memory_percent': 11.0, 'disk_io_read': 301229, 'disk_io_write': 155533083}
{'threads': 3040, 'errors': 0, 'overloads': 852, 'max': 4266.887, 'min': 0.631, 'avg': 2253.3980457236844, 'cpu_count': 2, 'cpu_percent': 87.8, 'memory_percent': 11.0, 'disk_io_read': 301229, 'disk_io_write': 155533085}
{'threads': 3060, 'errors': 0, 'overloads': 803, 'max': 4247.005, 'min': 0.625, 'avg': 2086.585453921569, 'cpu_count': 2, 'cpu_percent': 88.5, 'memory_percent': 11.0, 'disk_io_read': 301229, 'disk_io_write': 162852891}
{'threads': 3080, 'errors': 0, 'overloads': 841, 'max': 4840.581, 'min': 0.923, 'avg': 2661.4173610389607, 'cpu_count': 2, 'cpu_percent': 92.0, 'memory_percent': 11.1, 'disk_io_read': 301229, 'disk_io_write': 162852893}
{'threads': 3100, 'errors': 0, 'overloads': 878, 'max': 4165.014, 'min': 0.674, 'avg': 2050.06828, 'cpu_count': 2, 'cpu_percent': 90.8, 'memory_percent': 11.0, 'disk_io_read': 301229, 'disk_io_write': 162852938}
{'threads': 3120, 'errors': 0, 'overloads': 844, 'max': 4472.312, 'min': 0.69, 'avg': 2340.6065407051283, 'cpu_count': 2, 'cpu_percent': 90.6, 'memory_percent': 11.1, 'disk_io_read': 301229, 'disk_io_write': 162852940}
{'threads': 3140, 'errors': 0, 'overloads': 952, 'max': 4341.573, 'min': 0.624, 'avg': 2064.6594898089174, 'cpu_count': 2, 'cpu_percent': 90.0, 'memory_percent': 11.0, 'disk_io_read': 301229, 'disk_io_write': 162852952}
